Load address: $1000 Init address: $1000 Play address: $1003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   180 | ....  ... ..  .. .... 9E0 | 16F5 (- 0019) .. .... 5B2 | 1715 (- 000B) .. .... 606 | 8F00 .. ... . |
|   181 | ....  ... ..  .. .... 9E4 | 16DB (- 001A) .. .... 5AC | 1709 (- 000C) .. .... 600 | 9100 .. ... . |
|   182 | ....  ... ..  40 0F00 ... | 16F6 (+ 001B) .. .... 5A6 | 1716 (+ 000D) .. .... 5FA | .... .. ... . |
|   183 | ....  ... ..  .. .... 9E8 | 1712 (+ 001C) .. .... 5A0 | 1724 (+ 000E) .. .... 5F4 | 9300 .. ... . |
|   184 | ....  ... ..  09 564A ... | 172F (+ 001D) .. .... 59A | 1733 (+ 000F) .. .... 5EE | .... .. ... . |
|   185 | 1BA1  G#4 B8  41 .... 9EC | 174D (+ 001E) .. .... 594 | 1743 (+ 0010) .. .... 5E8 | 9500 .. ... . |
|   186 | ....  ... ..  .. .... 9F0 | 176C (+ 001F) .. .... 58E | 1754 (+ 0011) .. .... 5E2 | 9700 .. ... . |
|   187 | ....  ... ..  .. .... 9F4 | 178C (+ 0020) .. .... 588 | 1766 (+ 0012) .. .... 5DC | 9900 .. ... . |
|   188 | ....  ... ..  .. .... 9F8 | 17AD (+ 0021) .. .... 582 | 1779 (+ 0013) .. .... 5D6 | 9B00 .. ... . |
|   189 | ....  ... ..  40 0F00 ... | 173C (- 0071) .. .... ... | 1765 (- 0014) .. .... 5D0 | .... .. ... . |
|   190 | ....  ... ..  .. .... 9FC | 178B (+ 004F) .. .... 57C | 1750 (- 0015) .. .... 5CA | 9D00 .. ... . |
|   191 | ....  ... ..  09 204A ... | 1768 (- 0023) 40 .... 576 | 173A (- 0016) .. .... 5C4 | .... .. ... . |
|   192 | 1739  F-4 B5  41 .... A00 | 1744 (- 0024) .. .... 570 | 1723 (- 0017) .. .... 5BE | 9F00 .. ... . |
